titulo,rating,price,link
Xbox Serie S 512gb Color Blanco Blanco (Reacondicionado),N/A,1.599.000,https://www.mercadolibre.com.co/xbox-serie-s-512gb-color-blanco/up/MCOU3803983071#polycard_client=search-desktop&search_layout=grid&position=4&type=product&tracking_id=346c15ef-9baa-4e24-bda9-f8ee51de4179&wid=MCO1838634135&sid=search
Microsoft Xbox Series S White 1tb Ss - Blanco Blanco,N/A,2.449.900,https://www.mercadolibre.com.co/microsoft-xbox-series-s-white-1tb-ss--blanco/up/MCOU3812873632#polycard_client=search-desktop&search_layout=grid&position=5&type=product&tracking_id=346c15ef-9baa-4e24-bda9-f8ee51de4179&wid=MCO3598718214&sid=search
Xbox Series S: Consola Totalmente Digital De 512 Gb Y Mando,N/A,2.406.627,https://articulo.mercadolibre.com.co/MCO-1802106025-xbox-series-s-consola-totalmente-digital-de-512-gb-y-mando-_JM#polycard_client=search-desktop&search_layout=grid&position=6&type=item&tracking_id=346c15ef-9baa-4e24-bda9-f8ee51de4179
"Consola Microsoft Xbox Series S 1tb, Color Blanco Blanco",N/A,2.449.900,https://www.mercadolibre.com.co/consola-microsoft-xbox-series-s-1tb-color-blanco/up/MCOU3790987247#polycard_client=search-desktop&search_layout=grid&position=7&type=product&tracking_id=346c15ef-9baa-4e24-bda9-f8ee51de4179&wid=MCO1835436925&sid=search
"Mario 3d World De 32 Gb Para Wii U Deluxe, Reacondicionado",N/A,2.081.171,https://articulo.mercadolibre.com.co/MCO-3701480134-mario-3d-world-de-32-gb-para-wii-u-deluxe-reacondicionado-_JM#polycard_client=search-desktop&search_layout=grid&position=8&type=item&tracking_id=346c15ef-9baa-4e24-bda9-f8ee51de4179
Microsoft Xbox Serie S 512gb Color Blanco,N/A,1.250.000,https://articulo.mercadolibre.com.co/MCO-3602347130-microsoft-xbox-serie-s-512gb-color-blanco-_JM?searchVariation=190623845184#polycard_client=search-desktop&searchVariation=190623845184&search_layout=grid&position=9&type=item&tracking_id=346c15ef-9baa-4e24-bda9-f8ee51de4179
Consola Microsoft Xbox Series X 1tb Color Negro Negro,N/A,3.499.900,https://www.mercadolibre.com.co/consola-microsoft-xbox-series-x-1tb-color-negro/up/MCOU3815565940#polycard_client=search-desktop&search_layout=grid&position=10&type=product&tracking_id=346c15ef-9baa-4e24-bda9-f8ee51de4179&wid=MCO3601555906&sid=search
Consola Xbox Series S Standard 512gb Color Blanco Blanco,N/A,1.999.999,https://www.mercadolibre.com.co/consola-xbox-series-s-standard-512gb-color-blanco/up/MCOU3626410981#polycard_client=search-desktop&search_layout=grid&position=11&type=product&tracking_id=346c15ef-9baa-4e24-bda9-f8ee51de4179&wid=MCO3345554180&sid=search
Consola Xbox Series C8Y-00023 1TB Halo Infinite Limited Edition color gris 2021 (Nuevo con caja abierta),N/A,4.600.000,https://www.mercadolibre.com.co/consola-xbox-series-c8y-00023-1tb-halo-infinite-limited-edition-color-gris-2021-nuevo-con-caja-abierta/p/MCO2023211604#polycard_client=search-desktop&search_layout=grid&position=12&type=product&tracking_id=346c15ef-9baa-4e24-bda9-f8ee51de4179&wid=&sid=search
Xbox Series S 512gb Ssd Color Blanco - Excelente (Reacondicionado),N/A,1.200.000,https://www.mercadolibre.com.co/xbox-series-s-512gb-ssd-color-blanco-excelente-reacondicionado/p/MCO2014114188#polycard_client=search-desktop&search_layout=grid&position=13&type=product&tracking_id=346c15ef-9baa-4e24-bda9-f8ee51de4179&wid=&sid=search
Consola Xbox Serie X Color Negro 1 Tb Negro (Reacondicionado),N/A,2.899.900,https://www.mercadolibre.com.co/consola-xbox-serie-x-color-negro-1-tb/up/MCOU3804227499#polycard_client=search-desktop&search_layout=grid&position=14&type=product&tracking_id=346c15ef-9baa-4e24-bda9-f8ee51de4179&wid=MCO1838752861&sid=search
Microsoft Xbox Serie S 512gb Color blanco - Excelente (Reacondicionado),N/A,1.695.000,https://www.mercadolibre.com.co/microsoft-xbox-serie-s-512gb-color-blanco-excelente-reacondicionado/p/MCO2013745751#polycard_client=search-desktop&search_layout=grid&position=15&type=product&tracking_id=346c15ef-9baa-4e24-bda9-f8ee51de4179&wid=&sid=search
Consola Portátil Asus Rog Ally Xbox 512gb Blanco Wi-fi,N/A,2.704.330,https://articulo.mercadolibre.com.co/MCO-1843470387-consola-portatil-asus-rog-ally-xbox-512gb-blanco-wi-fi-_JM?searchVariation=190777149300#polycard_client=search-desktop&searchVariation=190777149300&search_layout=grid&position=16&type=item&tracking_id=346c15ef-9baa-4e24-bda9-f8ee51de4179
